File Name; Single; Multi; Spark
0.csv;31;20;79
1.csv;312;203;72
2.csv;679;409;55
3.csv;842;730;59
4.csv;1152;796;52
5.csv;1602;1005;54
6.csv;1615;1228;54
7.csv;2023;1607;45
8.csv;2211;1616;57
9.csv;2606;1923;59
10.csv;2684;1828;54
11.csv;2559;1890;51
12.csv;3490;2175;59
13.csv;3873;2781;51
14.csv;3281;2284;81
15.csv;3841;2591;56
16.csv;3686;2553;57
17.csv;3889;2910;71
18.csv;4268;2771;54
19.csv;4244;3296;68
20.csv;4806;3265;53
21.csv;4978;3338;45
22.csv;5567;3706;52
23.csv;4252;3359;57
24.csv;4640;3091;47
25.csv;4193;3101;74
26.csv;4240;3408;90
27.csv;4944;3231;53
28.csv;4359;3037;48
29.csv;5029;3534;60
30.csv;4973;4422;77
31.csv;5407;3171;43
32.csv;4836;3149;52
33.csv;4864;3465;49
34.csv;5218;4198;52
35.csv;4928;3529;54
36.csv;5303;4006;51
37.csv;5533;4242;68
38.csv;6801;4439;76
39.csv;6746;4478;66
