File Name; Single; Multi; Spark
0.csv;1;2;25
1.csv;6;6;26
2.csv;5;5;15
3.csv;6;4;16
4.csv;7;5;17
5.csv;8;6;18
6.csv;9;6;36
7.csv;14;8;23
8.csv;18;10;20
9.csv;15;18;30
10.csv;25;18;48
11.csv;22;18;46
12.csv;22;16;37
13.csv;24;15;37
14.csv;26;15;52
15.csv;37;15;37
16.csv;39;23;43
17.csv;33;18;41
18.csv;33;18;44
19.csv;29;17;48
20.csv;34;19;41
21.csv;26;18;36
22.csv;40;23;52
23.csv;42;29;51
24.csv;32;23;53
25.csv;43;24;48
26.csv;28;24;83
27.csv;46;29;59
28.csv;44;28;52
29.csv;43;22;63
30.csv;67;35;77
31.csv;56;29;57
32.csv;53;26;36
33.csv;47;28;61
34.csv;46;30;73
35.csv;58;39;64
36.csv;53;33;80
37.csv;68;42;58
38.csv;56;33;71
39.csv;52;35;87
40.csv;83;42;90
